Date,City,State,Max_Temp,Min_Temp,Avg_Temp,Humidity,Rainfall,Wind_Speed,AQI,AQI_Category,Pressure,Visibility
2024-01-01,Delhi,Delhi,25.4,10.7,18.1,84.1,0.0,9.0,130,Moderate,1008.4,46.0
2024-01-01,Bengaluru,Karnataka,37.2,30.8,34.0,49.0,3.7,6.6,54,Satisfactory,1008.0,61.3
2024-01-01,Chennai,Tamil Nadu,37.2,30.4,33.8,34.2,9.5,9.0,176,Moderate,993.4,70.0
2024-01-01,Kolkata,West Bengal,27.4,17.5,22.5,32.2,9.1,9.2,97,Satisfactory,1008.2,56.9
2024-01-01,Hyderabad,Telangana,44.4,31.6,38.0,91.1,51.9,4.0,140,Moderate,996.9,9.3
2024-01-01,Ahmedabad,Gujarat,32.8,25.1,28.9,83.9,0.0,5.2,345,Very Poor,1018.1,12.1
2024-01-01,Jaipur,Rajasthan,40.4,33.5,37.0,30.4,8.2,19.7,75,Satisfactory,992.6,39.1
2024-01-01,Lucknow,Uttar Pradesh,42.3,31.0,36.6,51.5,0.0,18.8,186,Moderate,1012.3,89.3
2024-01-01,Bhopal,Madhya Pradesh,27.4,15.3,21.3,79.5,0.0,14.0,73,Satisfactory,1005.0,7.4
2024-01-02,Mumbai,Maharashtra,25.6,14.3,19.9,50.4,0.0,11.4,63,Satisfactory,1016.4,26.7
2024-01-02,Delhi,Delhi,30.8,24.2,27.5,90.4,54.3,20.5,207,Poor,996.5,89.8
2024-01-02,Bengaluru,Karnataka,41.1,27.2,34.2,50.7,0.0,20.8,198,Moderate,1020.1,5.7
2024-01-02,Chennai,Tamil Nadu,33.3,26.1,29.7,37.8,0.0,13.9,341,Very Poor,1014.6,39.5
2024-01-02,Kolkata,West Bengal,44.2,36.7,40.5,62.3,0.0,16.0,126,Moderate,1007.6,9.9
2024-01-02,Hyderabad,Telangana,43.2,35.8,39.5,39.4,0.0,17.5,265,Poor,1016.7,27.6
2024-01-02,Ahmedabad,Gujarat,32.4,21.0,26.7,71.2,5.4,9.4,223,Poor,996.5,8.9
2024-01-02,Jaipur,Rajasthan,38.6,33.4,36.0,63.3,0.0,17.9,82,Satisfactory,1003.5,94.0
2024-01-02,Lucknow,Uttar Pradesh,31.8,25.7,28.8,90.1,8.8,20.8,114,Moderate,1009.4,55.3
2024-01-02,Bhopal,Madhya Pradesh,26.9,12.9,19.9,88.5,0.0,18.7,281,Poor,1021.4,89.3
2024-01-03,Mumbai,Maharashtra,37.8,32.0,34.9,40.5,0.0,4.3,89,Satisfactory,1013.2,5.5
2024-01-03,Delhi,Delhi,36.0,24.1,30.0,72.4,0.0,9.5,303,Very Poor,1016.1,66.7
2024-01-03,Bengaluru,Karnataka,38.2,27.5,32.8,36.1,0.0,24.4,235,Poor,1003.8,89.7
2024-01-03,Chennai,Tamil Nadu,40.9,30.9,35.9,67.5,5.0,8.5,94,Satisfactory,990.9,66.3
2024-01-03,Kolkata,West Bengal,43.8,29.3,36.5,89.5,11.1,11.8,304,Very Poor,1023.8,96.5
2024-01-03,Hyderabad,Telangana,30.9,22.0,26.5,85.3,0.0,23.5,70,Satisfactory,1014.4,59.2
2024-01-03,Ahmedabad,Gujarat,37.3,22.4,29.8,39.1,5.2,18.0,131,Moderate,1014.6,39.2
2024-01-03,Jaipur,Rajasthan,41.2,28.1,34.6,86.4,0.0,20.4,286,Poor,1012.7,71.7
2024-01-03,Lucknow,Uttar Pradesh,42.8,34.4,38.6,54.4,0.0,12.7,223,Poor,1009.0,32.2
2024-01-03,Bhopal,Madhya Pradesh,25.6,20.2,22.9,83.5,0.0,19.7,66,Satisfactory,997.6,64.2
2024-01-04,Mumbai,Maharashtra,26.0,15.7,20.9,65.1,60.8,13.9,123,Moderate,1001.3,80.5
